序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,300147,ST香雪,10.54,20.05,1.76,668928.0,652348934.48,19.13,10.54,8.86,8.92,8.78,3.55,10.17,-19.86,7.21,6969881134.0,6929618303.0,0.0,0.0,24.88,7.88
2,688098,申联生物,15.4,20.03,2.57,195625.0,295948898.0,8.5,15.4,14.31,15.4,12.83,0.82,4.76,-523.53,4.5,6323917600.0,6323917600.0,0.0,0.0,166.9,181.54
3,300536,农尚环境,11.63,20.02,1.94,368534.0,391409011.9,20.12,11.63,9.68,9.68,9.69,2.98,12.57,-130.0,6.59,3410940987.0,3410535181.0,0.0,0.0,26.83,102.97
4,300642,透景生命,23.09,20.01,3.85,297639.0,644862173.45,20.69,23.09,19.11,19.25,19.24,1.72,21.61,1989.34,2.53,3753418987.0,3179653845.0,0.0,0.0,66.96,65.28
5,300049,福瑞股份,72.23,20.0,12.04,159353.0,1126836803.54,9.22,72.23,66.68,66.68,60.19,1.53,6.82,167.09,10.74,19139209257.0,16865801933.0,0.0,0.0,126.92,129.01
6,300810,中科海讯,65.47,20.0,10.91,297417.0,1908766067.69,8.21,65.47,60.99,62.75,54.56,3.65,26.09,-76.58,9.78,7728733500.0,7462709249.0,0.0,0.0,119.04,240.81
7,300598,诚迈科技,55.39,20.0,9.23,353467.0,1838240058.15,19.48,55.39,46.4,46.76,46.16,4.06,16.29,-70.97,8.0,12018618634.0,12015252805.0,0.0,0.0,29.02,14.44
8,300328,宜安科技,16.98,20.0,2.83,1812015.0,2838544404.41,21.84,16.98,13.89,14.0,14.15,1.93,26.4,-480.39,10.79,11723392728.0,11654528216.0,1.25,2.1,54.22,130.71
9,688381,帝奥微,29.76,20.0,4.96,329295.0,922490322.0,19.6,29.76,24.9,24.97,24.8,4.74,17.94,148.56,2.79,7365600000.0,5462340864.0,0.0,0.0,41.92,56.06
10,301321,翰博高新,19.32,20.0,3.22,89148.0,167048639.24,18.2,19.32,16.39,16.42,16.1,2.91,6.04,-25.01,3.58,3601924200.0,2850977071.0,0.0,0.0,28.29,34.17
11,301632,广东建科,44.36,19.99,7.39,458476.0,1902559293.22,25.32,44.36,35.0,35.51,36.97,0.97,66.58,-329.9,7.05,18567321600.0,3054782953.0,0.0,0.0,576.22,576.22
12,300404,博济医药,13.15,19.98,2.19,496995.0,618103925.41,19.53,13.15,11.01,11.01,10.96,2.5,17.71,324.95,5.07,5069991416.0,3689876350.0,0.0,0.0,60.76,50.8
13,872925,锦好医疗,30.18,18.63,4.74,54734.0,153546350.8,25.98,31.98,25.37,25.6,25.44,2.81,9.9,221.04,8.09,2971542206.0,1668804700.0,0.0,0.57,98.81,159.95
14,836504,博迅生物,34.03,18.2,5.24,75055.0,261669573.35,28.52,37.42,29.21,29.21,28.79,5.65,43.9,297.39,7.65,1474625393.0,581834833.0,0.0,-1.48,28.13,92.91
15,688679,通源环境,20.79,17.86,3.15,83029.0,158760344.0,18.88,20.79,17.46,17.89,17.64,1.3,6.3,-265.67,2.41,2737828343.0,2737828343.0,1.41,4.11,29.45,98.95
16,831641,格利尔,22.16,17.75,3.34,120480.0,280772568.95,23.01,24.46,20.13,20.13,18.82,5.27,26.98,104.89,4.82,1663662000.0,989606765.0,0.23,0.64,32.69,83.29
17,830839,万通液压,39.8,16.41,5.61,113134.0,449096472.35,26.03,44.4,35.5,35.5,34.19,4.07,17.13,35.07,8.5,4744757000.0,2629143225.0,-0.25,-0.5,26.03,155.78
18,300995,奇德新材,64.11,15.06,8.39,117048.0,726105860.39,21.88,66.86,54.67,56.33,55.72,2.48,19.54,332.36,8.75,5395497600.0,3840495510.0,-0.57,0.17,69.07,309.39
19,300897,山科智能,32.96,14.64,4.21,122099.0,372265291.41,17.11,33.18,28.26,28.7,28.75,2.76,13.93,122.98,4.79,4621644740.0,2889195518.0,0.0,1.42,77.87,90.3
20,688320,禾川科技,54.02,14.5,6.84,226554.0,1160663158.0,20.09,55.89,46.41,47.5,47.18,4.1,20.43,-75.71,6.31,8157758345.0,5989542426.0,-0.06,-0.04,21.18,38.87
21,301009,可靠股份,16.98,14.27,2.12,374795.0,611812652.86,17.5,17.56,14.96,15.05,14.86,3.64,28.71,62.08,3.46,4616182800.0,2216869865.0,-0.12,-0.47,21.81,59.89
22,300004,南风股份,11.44,13.72,1.38,1674323.0,1909714764.38,18.09,12.07,10.25,10.31,10.06,4.18,34.88,84.54,3.12,5491126761.0,5491126761.0,0.0,0.35,17.94,86.02
23,688521,芯原股份,127.28,13.39,15.03,286474.0,3593098920.0,21.74,134.7,110.3,110.3,112.25,1.95,5.72,-75.92,18.07,66912785387.0,63748548457.0,-0.01,0.08,53.0,142.76
24,301368,丰立智能,76.39,13.3,8.97,217921.0,1586248141.32,17.5,79.0,67.2,67.88,67.42,3.53,33.99,1422.64,9.43,9174439000.0,4898236802.0,0.07,0.04,18.53,65.78
25,300680,隆盛科技,45.89,13.09,5.31,340757.0,1470444515.1,16.51,45.96,39.26,40.57,40.58,2.92,19.38,44.53,5.48,10449890819.0,8069212245.0,-0.15,0.31,1.84,93.14
26,688319,欧林生物,31.21,12.71,3.52,275615.0,830777762.0,21.67,33.23,27.23,27.69,27.69,2.18,6.8,-447.74,13.78,12669187656.0,12652824253.0,0.03,-0.41,82.73,194.43
27,831195,三祥科技,21.61,12.55,2.41,103182.0,228497991.71,21.15,24.26,20.2,20.2,19.2,3.88,14.58,22.37,2.86,2118428300.0,1529101666.0,0.05,-0.14,25.2,100.46
28,300907,康平科技,42.88,12.37,4.72,173513.0,723454124.26,12.6,44.79,39.98,40.18,38.16,1.8,18.07,54.4,5.33,4116480000.0,4116480000.0,-0.05,0.3,71.18,103.8
29,301525,儒竞科技,106.54,12.17,11.56,81823.0,832851487.82,22.93,113.98,92.2,98.39,94.98,4.21,16.56,47.52,3.15,10047975763.0,5263203528.0,0.01,-0.01,36.57,79.81
30,688118,普元信息,35.51,11.77,3.74,136404.0,476824311.0,20.81,38.0,31.39,31.5,31.77,2.3,14.86,-29.6,3.99,3260443438.0,3260443438.0,0.0,-0.03,52.6,70.07
31,301183,东田微,82.0,11.75,8.62,182469.0,1411195909.01,16.37,85.01,73.0,74.81,73.38,1.83,31.12,81.6,7.56,6560000000.0,4807412032.0,-0.61,0.6,82.02,52.76
32,300631,久吾高科,36.87,11.69,3.86,388466.0,1428640442.28,19.6,39.61,33.14,33.7,33.01,3.64,32.21,59.58,3.56,4610351043.0,4446501943.0,-0.08,-0.11,61.57,76.24
33,300456,赛微电子,26.09,11.69,2.73,1376044.0,3558349194.67,11.94,27.37,24.58,25.01,23.36,2.14,23.19,1807.59,3.79,19103440666.0,15484325720.0,0.0,0.38,58.41,51.86
34,430047,诺思兰德,28.44,11.53,2.94,211717.0,622176452.43,25.22,32.49,26.06,26.06,25.5,3.52,11.76,-252.7,24.11,7800294941.0,5122226784.0,0.11,-0.07,70.91,146.66
35,300913,兆龙互连,59.8,11.46,6.15,345961.0,2005332726.11,20.48,64.0,53.01,53.2,53.65,2.27,13.52,143.44,15.28,18700097647.0,15299943799.0,0.08,0.07,46.5,25.05
36,301413,安培龙,117.0,11.46,12.03,78609.0,875947667.81,17.18,120.41,102.38,107.59,104.97,1.26,14.93,141.3,9.62,11513032245.0,6161835771.0,-0.41,-0.41,45.65,119.88
37,688775,影石创新,300.0,11.4,30.7,143798.0,4288209901.0,15.81,318.88,276.3,313.07,269.3,2.89,47.14,170.54,23.57,120300000000.0,9150470700.0,-0.02,-0.5,534.65,534.65
38,300809,华辰装备,52.0,11.11,5.2,234514.0,1146584224.12,16.03,52.5,45.0,46.61,46.8,1.68,16.62,139.78,8.18,13184038400.0,7337871008.0,0.27,0.46,39.75,64.66
